     0.559104380E-04     0.502177025E-05     0.188095262E+05
     0.561906902E-04     0.507219123E-05     0.186453711E+05
     0.564723472E-04     0.512311847E-05     0.184484820E+05
     0.567554160E-04     0.517455705E-05     0.182865159E+05
     0.570399038E-04     0.522651200E-05     0.182485302E+05
     0.573258175E-04     0.527898831E-05     0.182625380E+05
     0.576131643E-04     0.533199128E-05     0.182466613E+05
     0.579019515E-04     0.538552616E-05     0.182364867E+05
     0.581921862E-04     0.543959830E-05     0.182242708E+05
     0.584838758E-04     0.549421309E-05     0.182106342E+05
     0.587770274E-04     0.554937598E-05     0.181956074E+05
     0.590716485E-04     0.560509245E-05     0.181792200E+05
     0.593677464E-04     0.566136807E-05     0.181615013E+05
     0.596653285E-04     0.571820844E-05     0.181424803E+05
     0.599644022E-04     0.577561924E-05     0.181221857E+05
     0.602649750E-04     0.583360618E-05     0.181006458E+05
     0.605670544E-04     0.589217504E-05     0.180778885E+05
     0.608706480E-04     0.595133166E-05     0.180539413E+05
     0.611757634E-04     0.601108194E-05     0.180288317E+05
     0.614824082E-04     0.607143184E-05     0.180025864E+05
     0.617905901E-04     0.613238737E-05     0.179752320E+05
     0.621003167E-04     0.619395460E-05     0.179467948E+05
     0.624115958E-04     0.625613967E-05     0.179173005E+05
     0.627244353E-04     0.631894879E-05     0.178867748E+05
     0.630388428E-04     0.638238820E-05     0.178552427E+05
     0.633548263E-04     0.644646424E-05     0.178227291E+05
     0.636723937E-04     0.651118329E-05     0.177892584E+05
     0.639915529E-04     0.657655181E-05     0.177548547E+05
     0.643123119E-04     0.664257630E-05     0.177195419E+05
     0.646346787E-04     0.670926334E-05     0.176833432E+05
     0.649586614E-04     0.677661960E-05     0.176462819E+05
     0.652842680E-04     0.684465177E-05     0.176083806E+05
     0.656115068E-04     0.691336663E-05     0.175696617E+05
     0.659403858E-04     0.698277105E-05     0.175301473E+05
     0.662709134E-04     0.705287193E-05     0.174898590E+05
     0.666030977E-04     0.712367626E-05     0.174488184E+05
     0.669369471E-04     0.719519110E-05     0.174070464E+05
     0.672724700E-04     0.726742358E-05     0.173645637E+05
     0.676096746E-04     0.734038089E-05     0.173213908E+05
     0.679485695E-04     0.741407030E-05     0.172775476E+05
     0.682891632E-04     0.748849917E-05     0.172330540E+05
     0.686314640E-04     0.756367490E-05     0.171879294E+05
     0.689754807E-04     0.763960499E-05     0.171421928E+05
     0.693212217E-04     0.771629701E-05     0.170958630E+05
     0.696686958E-04     0.779375860E-05     0.170489585E+05
     0.700179116E-04     0.787199748E-05     0.170014975E+05
     0.703688778E-04     0.795102144E-05     0.169534978E+05
     0.707216033E-04     0.803083836E-05     0.169049769E+05
     0.710760968E-04     0.811145621E-05     0.168559522E+05
     0.714323672E-04     0.819288300E-05     0.168064405E+05
     0.717904234E-04     0.827512685E-05     0.167564584E+05
     0.721502744E-04     0.835819597E-05     0.167060225E+05
     0.725119292E-04     0.844209862E-05     0.166551487E+05
     0.728753967E-04     0.852684318E-05     0.166038527E+05
     0.732406862E-04     0.861243808E-05     0.165521502E+05
     0.736078067E-04     0.869889185E-05     0.165000563E+05
     0.739767673E-04     0.878621311E-05     0.164475859E+05
     0.743475774E-04     0.887441056E-05     0.163947538E+05
     0.747202462E-04     0.896349299E-05     0.163415743E+05
     0.750947830E-04     0.905346928E-05     0.162880615E+05
     0.754711971E-04     0.914434838E-05     0.162342294E+05
     0.758494981E-04     0.923613937E-05     0.161800915E+05
     0.762296953E-04     0.932885138E-05     0.161256611E+05
     0.766117982E-04     0.942249365E-05     0.160709514E+05
     0.769958165E-04     0.951707551E-05     0.160159751E+05
     0.773817596E-04     0.961260639E-05     0.159607450E+05
     0.777696373E-04     0.970909580E-05     0.159052732E+05
     0.781594592E-04     0.980655337E-05     0.158495720E+05
     0.785512351E-04     0.990498879E-05     0.157936532E+05
     0.789449748E-04     0.100044119E-04     0.157375284E+05
     0.793406882E-04     0.101048325E-04     0.156812091E+05
     0.797383850E-04     0.102062608E-04     0.156247063E+05
     0.801380753E-04     0.103087067E-04     0.155680311E+05
     0.805397691E-04     0.104121805E-04     0.155111941E+05
     0.809434764E-04     0.105166926E-04     0.154542059E+05
     0.813492073E-04     0.106222532E-04     0.153970767E+05
     0.817569719E-04     0.107288730E-04     0.153398167E+05
     0.821667804E-04     0.108365625E-04     0.152824356E+05
     0.825786431E-04     0.109453325E-04     0.152249432E+05
     0.829925703E-04     0.110551939E-04     0.151673488E+05
     0.834085722E-04     0.111661575E-04     0.151096618E+05
     0.838266594E-04     0.112782344E-04     0.150518912E+05
     0.842468423E-04     0.113914358E-04     0.149940459E+05
     0.846691314E-04     0.115057729E-04     0.149361344E+05
     0.850935372E-04     0.116212573E-04     0.148781654E+05
     0.855200703E-04     0.117379002E-04     0.148201470E+05
     0.859487414E-04     0.118557135E-04     0.147620874E+05
     0.863795613E-04     0.119747088E-04     0.147039945E+05
     0.868125406E-04     0.120948979E-04     0.146458761E+05
     0.872476903E-04     0.122162929E-04     0.145877398E+05
     0.876850212E-04     0.123389058E-04     0.145295928E+05
     0.881245442E-04     0.124627489E-04     0.144714426E+05
     0.885662703E-04     0.125878345E-04     0.144132960E+05
     0.890102106E-04     0.127141750E-04     0.143551602E+05
     0.894563761E-04     0.128417830E-04     0.142970417E+05
     0.899047781E-04     0.129706713E-04     0.142389472E+05
     0.903554276E-04     0.131008527E-04     0.141808830E+05
     0.908083361E-04     0.132323401E-04     0.141228556E+05
     0.912635148E-04     0.133651467E-04     0.140648709E+05
     0.917209751E-04     0.134992857E-04     0.140069350E+05
